frame_id,t_mono_ms,video_frame,rgb_path,depth_path,has_depth,depth_rtt_ms,depth_age_ms,pad_id,pos_x_cm,pos_y_cm,pos_z_cm,yaw_deg,height_cm,vgx,vgy,vgz,pitch_deg,roll_deg,bat_pct,act_roll,act_pitch,act_throttle,act_yaw,ctrl_state,near_left,near_mid,near_right,wander_state,wander_event
106,12475,105,,depth/000106.npy,1,150.7,310.6,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,86.0,0,0,0,0,HOVER,0.3,0.4197,0.3333,,
107,12583,106,,depth/000107.npy,1,156.9,259.4,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,86.0,0,0,0,0,HOVER,0.2981,0.4216,0.3333,,
108,12686,107,,depth/000108.npy,1,148.6,230.0,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,86.0,0,0,0,0,HOVER,0.2981,0.4197,0.3333,,
109,12810,108,,depth/000108.npy,1,148.6,354.5,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,86.0,0,0,0,0,HOVER,0.2981,0.4197,0.3333,,
110,12932,109,,depth/000110.npy,1,149.2,303.1,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,85.0,0,0,0,0,HOVER,0.2981,0.4197,0.3333,,
111,13054,110,,depth/000111.npy,1,141.9,262.7,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,85.0,0,0,0,0,HOVER,0.2981,0.4197,0.3333,,
112,13174,111,,depth/000112.npy,1,144.9,214.0,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,85.0,0,0,0,0,HOVER,0.2981,0.4197,0.3372,,
113,13292,112,,depth/000113.npy,1,143.0,236.4,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,85.0,0,0,0,0,HOVER,0.2981,0.4197,0.3372,,
114,13415,113,,depth/000114.npy,1,144.1,185.3,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,85.0,0,0,0,0,HOVER,0.304,0.4236,0.3372,,
115,13539,114,,depth/000114.npy,1,144.1,307.1,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,85.0,0,0,0,0,HOVER,0.304,0.4236,0.3372,,
116,13659,115,,depth/000116.npy,1,144.4,302.8,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,85.0,0,0,0,0,HOVER,0.304,0.4197,0.3372,,
117,13779,116,,depth/000117.npy,1,140.0,249.3,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,85.0,0,0,0,0,HOVER,0.3,0.4236,0.3411,,
